Survived,Pclass,Sex,SibSp,Parch,Embarked,Age_bin,Fare_bin,Family_Size,Is_Alone,Deck
1,2,female,0,0,S,Adult,Medium,1,1,U
0,1,male,0,0,S,Young Adult,Premium,1,1,C
0,3,male,0,0,S,Adult,Medium,1,1,U
0,2,male,2,1,S,Young Adult,Medium,4,0,U
1,2,female,1,1,S,Child,High,3,0,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
0,3,male,1,1,C,Teenager,Low,3,0,U
1,3,female,0,2,C,Young Adult,High,3,0,U
0,3,female,0,0,S,Young Adult,Medium,1,1,U
1,2,female,0,2,S,Child,High,3,0,U
0,1,male,0,0,S,Adult,High,1,1,B
1,1,female,0,0,C,Young Adult,Premium,1,1,U
0,3,male,0,0,S,Young Adult,High,1,1,U
1,1,female,0,2,C,Young Adult,Premium,3,0,B
1,1,female,0,2,S,Adult,Premium,3,0,B
0,3,female,4,2,S,Child,Premium,7,0,U
0,3,female,4,2,S,Child,Premium,7,0,U
1,2,male,1,0,S,Adult,High,2,0,U
0,1,male,1,0,C,Adult,Premium,2,0,C
0,1,male,0,0,S,Adult,High,1,1,U
1,2,female,1,0,S,Teenager,High,2,0,U
1,2,male,0,0,C,Young Adult,Medium,1,1,U
0,3,male,1,1,S,Adult,High,3,0,U
1,2,male,1,1,S,Child,Premium,3,0,U
1,1,male,0,2,C,Teenager,Premium,3,0,C
0,2,male,0,0,S,Young Adult,High,1,1,U
0,3,male,0,0,Q,Young Adult,Low,1,1,U
1,3,male,0,0,C,Young Adult,Low,1,1,U
1,3,female,0,0,S,Young Adult,Low,1,1,U
0,1,male,0,0,S,Adult,High,1,1,U
1,1,female,1,0,C,Adult,Premium,2,0,A
0,1,male,0,0,C,Young Adult,Premium,1,1,U
1,1,female,1,1,S,Adult,Premium,3,0,E
1,3,female,1,0,S,Adult,High,2,0,U
0,3,male,0,0,Q,Young Adult,Low,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,female,0,0,S,Young Adult,Medium,1,1,U
0,3,male,2,0,S,Young Adult,High,3,0,U
0,3,male,0,0,S,Teenager,Low,1,1,U
0,3,female,0,4,S,Young Adult,High,5,0,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
1,3,male,0,0,S,Adult,Low,1,1,U
1,2,male,0,0,S,Adult,Medium,1,1,U
1,1,female,2,0,S,Adult,Premium,3,0,C
1,1,male,0,0,S,Adult,High,1,1,E
1,3,female,0,0,Q,Young Adult,Low,1,1,U
0,3,male,0,0,S,Teenager,Medium,1,1,U
0,3,male,0,0,S,Teenager,High,1,1,U
1,2,female,0,0,S,Adult,Medium,1,1,U
1,1,female,1,0,S,Adult,Premium,2,0,E
0,3,female,1,0,C,Young Adult,High,2,0,U
1,3,male,0,0,S,Adult,Medium,1,1,U
1,2,female,1,1,S,Young Adult,High,3,0,U
1,1,female,1,1,C,Adult,Premium,3,0,C
0,2,male,0,0,S,Adult,High,1,1,U
0,1,male,0,0,C,Adult,Premium,1,1,A
0,3,male,0,0,C,Young Adult,Medium,1,1,U
1,1,female,0,2,S,Teenager,Premium,3,0,E
0,2,male,0,0,S,Adult,High,1,1,U
1,1,male,1,1,C,Adult,Premium,3,0,B
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
1,1,female,1,0,C,Adult,Premium,2,0,D
0,3,male,0,0,S,Adult,Low,1,1,U
0,3,female,0,2,Q,Young Adult,Low,3,0,U
0,2,male,1,0,S,Adult,High,2,0,U
0,3,male,1,1,S,Adult,High,3,0,U
1,2,female,0,0,S,Young Adult,Premium,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
1,1,male,1,0,C,Adult,Premium,2,0,A
1,2,female,2,1,S,Young Adult,High,4,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,1,male,0,0,S,Young Adult,Premium,1,1,U
0,3,male,0,0,S,Adult,Medium,1,1,U
1,1,male,0,0,C,Adult,High,1,1,U
0,3,male,1,0,S,Adult,High,2,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,1,male,0,0,S,Young Adult,High,1,1,U
1,2,female,1,2,C,Young Adult,Premium,4,0,U
1,1,female,0,0,S,Adult,Premium,1,1,C
0,3,female,1,5,S,Adult,Premium,7,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,3,female,1,0,Q,Young Adult,High,2,0,U
0,3,male,0,0,Q,Young Adult,Low,1,1,U
0,3,male,0,0,S,Adult,Medium,1,1,U
1,2,female,1,2,S,Young Adult,Premium,4,0,U
0,3,male,1,1,S,Adult,Medium,3,0,U
0,3,female,1,0,S,Young Adult,High,2,0,U
1,2,female,2,1,S,Child,Premium,4,0,F
0,2,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,1,0,C,Young Adult,Medium,2,0,U
1,1,male,1,0,S,Adult,Premium,2,0,D
1,3,male,1,1,C,Young Adult,High,3,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,High,1,1,U
0,1,male,0,0,S,Adult,Premium,1,1,D
0,2,male,0,0,Q,Adult,Medium,1,1,U
1,1,female,0,0,S,Young Adult,Premium,1,1,D
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,Q,Young Adult,Low,1,1,U
1,1,male,0,0,S,Senior,High,1,1,A
0,3,male,0,0,S,Adult,Low,1,1,U
1,1,male,0,0,C,Adult,High,1,1,B
0,1,male,0,0,S,Young Adult,Low,1,1,U
0,3,female,3,2,S,Child,High,6,0,U
1,2,female,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Adult,Medium,1,1,U
0,2,male,1,1,S,Adult,High,3,0,U
0,3,female,0,5,S,Adult,Premium,6,0,U
0,3,male,1,0,S,Young Adult,High,2,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,1,female,0,0,C,Young Adult,Premium,1,1,B
0,3,female,3,2,S,Child,High,6,0,U
1,3,male,0,0,S,Young Adult,Premium,1,1,U
1,3,female,2,1,C,Child,High,4,0,U
1,1,male,1,0,C,Adult,Premium,2,0,D
0,3,male,0,0,S,Teenager,Low,1,1,U
1,1,male,0,0,C,Adult,Premium,1,1,A
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,3,female,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,2,female,0,1,S,Teenager,High,2,0,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
1,3,female,0,0,Q,Young Adult,Low,1,1,U
0,3,female,0,0,Q,Teenager,Low,1,1,U
0,2,male,2,0,S,Young Adult,Premium,3,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,female,1,1,Q,Adult,High,3,0,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
0,1,male,0,2,C,Adult,Premium,3,0,D
1,1,male,2,0,S,Adult,Premium,3,0,U
0,3,male,0,0,C,Adult,Low,1,1,U
0,1,male,0,0,S,Adult,High,1,1,E
0,3,male,0,0,S,Adult,Low,1,1,U
1,3,male,1,0,S,Young Adult,Medium,2,0,U
0,2,male,2,0,S,Adult,Premium,3,0,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Adult,Medium,1,1,U
1,1,female,1,0,S,Young Adult,Premium,2,0,C
1,2,female,1,1,S,Adult,Premium,3,0,U
0,1,male,1,0,S,Adult,Premium,2,0,B
0,2,male,0,0,S,Senior,Medium,1,1,U
1,2,male,0,0,S,Adult,Medium,1,1,U
0,2,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Teenager,Low,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
1,3,female,0,0,S,Teenager,Medium,1,1,U
0,3,female,1,6,S,Adult,Premium,8,0,U
1,1,male,0,1,C,Adult,Premium,2,0,B
0,3,female,0,0,Q,Young Adult,Medium,1,1,U
1,1,male,0,0,C,Young Adult,Premium,1,1,D
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,5,2,S,Teenager,Premium,8,0,U
0,2,male,1,1,S,Adult,Premium,3,0,U
0,2,male,1,2,C,Young Adult,Premium,4,0,U
0,3,male,4,1,S,Teenager,Premium,6,0,U
0,3,male,0,0,S,Teenager,Medium,1,1,U
0,3,male,0,0,S,Teenager,Low,1,1,U
1,1,female,0,1,S,Teenager,Premium,2,0,B
1,1,male,1,0,S,Adult,Premium,2,0,B
1,3,female,0,1,C,Child,Medium,2,0,U
1,3,male,0,0,S,Young Adult,Premium,1,1,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
0,1,male,0,0,S,Adult,High,1,1,U
0,2,male,0,0,S,Adult,Medium,1,1,U
0,3,male,0,0,S,Adult,Medium,1,1,U
1,3,female,0,0,Q,Young Adult,Low,1,1,U
0,1,male,1,1,C,Adult,Premium,3,0,C
0,3,male,0,0,S,Adult,Low,1,1,F
1,1,female,1,0,C,Teenager,Premium,2,0,C
1,1,male,0,0,S,Adult,High,1,1,E
0,3,female,0,1,C,Teenager,Medium,2,0,U
0,3,male,0,0,Q,Young Adult,Low,1,1,U
0,3,male,1,0,S,Young Adult,Low,2,0,U
0,2,male,0,0,S,Adult,High,1,1,U
1,2,female,0,0,S,Adult,Medium,1,1,U
1,1,male,0,0,S,Adult,High,1,1,E
1,1,female,0,0,S,Young Adult,Premium,1,1,U
1,3,male,1,1,C,Teenager,High,3,0,U
1,1,female,0,0,C,Young Adult,Premium,1,1,C
0,1,male,0,0,S,Young Adult,High,1,1,C
1,1,male,1,0,S,Adult,Premium,2,0,C
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,2,male,0,0,S,Adult,Medium,1,1,U
0,3,male,0,0,S,Teenager,Low,1,1,F
1,1,female,0,0,C,Adult,Premium,1,1,C
1,2,female,0,0,S,Young Adult,Medium,1,1,E
0,3,male,0,0,Q,Young Adult,High,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
1,2,female,0,1,S,Child,Premium,2,0,U
0,3,male,1,0,S,Teenager,Low,2,0,U
0,2,male,0,0,S,Adult,Medium,1,1,U
0,2,male,0,0,S,Adult,Medium,1,1,U
1,1,male,1,0,S,Young Adult,Premium,2,0,E
0,3,male,0,0,S,Young Adult,Medium,1,1,U
1,2,female,3,0,S,Young Adult,High,4,0,U
1,3,female,0,0,Q,Young Adult,Low,1,1,U
0,2,male,1,0,S,Young Adult,High,2,0,U
0,3,female,1,0,S,Young Adult,Medium,2,0,U
1,1,female,0,0,S,Young Adult,Premium,1,1,B
0,3,male,0,0,C,Child,High,1,1,U
0,2,male,0,0,S,Young Adult,Low,1,1,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,High,1,1,U
0,3,female,1,3,S,Adult,Premium,5,0,U
1,1,male,0,0,C,Adult,Premium,1,1,B
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,1,male,0,0,S,Young Adult,High,1,1,D
0,1,male,1,0,S,Adult,Premium,2,0,C
1,1,female,2,2,C,Young Adult,Premium,5,0,B
0,3,male,1,0,S,Young Adult,High,2,0,U
1,3,male,0,0,S,Adult,Medium,1,1,U
0,1,male,1,1,S,Senior,Premium,3,0,B
0,3,male,1,1,S,Teenager,High,3,0,U
1,2,female,0,0,S,Young Adult,Medium,1,1,U
0,1,male,1,0,S,Teenager,Premium,2,0,D
0,3,male,0,0,Q,Adult,Low,1,1,U
1,2,female,1,1,S,Child,High,3,0,U
1,3,male,0,1,S,Child,Medium,2,0,E
0,3,male,0,0,S,Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,2,female,1,2,S,Adult,Premium,4,0,U
1,2,male,1,1,S,Child,High,3,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,2,male,0,0,S,Teenager,Medium,1,1,U
0,3,male,0,0,S,Adult,Medium,1,1,U
1,1,female,0,0,S,Adult,Premium,1,1,B
0,3,male,0,0,S,Young Adult,High,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
1,3,male,0,0,C,Young Adult,Low,1,1,U
1,1,female,1,2,S,Adult,Premium,4,0,B
0,3,male,0,0,S,Teenager,Low,1,1,U
1,1,female,1,0,S,Adult,Premium,2,0,D
0,1,male,0,0,C,Young Adult,Premium,1,1,U
0,3,female,0,0,Q,Adult,Low,1,1,U
0,3,male,1,0,Q,Young Adult,High,2,0,U
0,3,male,0,0,S,Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
0,2,female,0,0,S,Adult,Medium,1,1,E
0,3,male,0,0,C,Young Adult,Low,1,1,U
1,2,female,1,3,S,Adult,High,5,0,U
0,3,male,0,0,S,Teenager,Low,1,1,U
0,3,male,0,0,Q,Young Adult,Low,1,1,F
1,3,female,0,0,S,Child,Medium,1,1,U
0,3,male,0,0,Q,Young Adult,Low,1,1,U
1,1,female,0,1,S,Adult,Premium,2,0,B
1,3,female,0,0,C,Teenager,Low,1,1,U
1,1,female,1,0,S,Teenager,Premium,2,0,B
0,1,male,0,0,S,Young Adult,High,1,1,D
0,3,male,1,2,S,Young Adult,High,4,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,3,female,0,0,S,Teenager,Low,1,1,U
0,3,male,4,1,Q,Child,High,6,0,U
1,3,male,1,2,S,Child,High,4,0,U
0,1,male,0,0,C,Adult,Premium,1,1,B
0,3,male,0,0,Q,Young Adult,Low,1,1,U
0,2,male,0,0,S,Teenager,High,1,1,U
0,3,female,8,2,S,Young Adult,Premium,11,0,U
0,1,male,0,0,C,Young Adult,High,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,2,male,0,0,S,Adult,Medium,1,1,U
1,1,female,0,0,S,Adult,High,1,1,D
1,3,female,0,0,S,Adult,Medium,1,1,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
0,3,female,1,1,S,Young Adult,High,3,0,U
0,2,male,0,0,S,Adult,Medium,1,1,U
1,2,female,1,1,S,Adult,High,3,0,U
1,1,male,1,2,S,Child,Premium,4,0,B
1,3,male,0,1,C,Child,Medium,2,0,U
1,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
0,1,male,0,0,S,Adult,Low,1,1,A
0,3,female,0,0,S,Teenager,Low,1,1,U
0,2,male,0,0,S,Adult,Medium,1,1,U
1,1,female,1,0,S,Adult,Premium,2,0,E
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Adult,High,1,1,U
0,2,male,0,0,S,Adult,Medium,1,1,U
0,3,female,4,2,S,Child,Premium,7,0,U
0,3,male,0,0,S,Adult,Medium,1,1,U
0,1,male,0,0,S,Young Adult,Low,1,1,B
0,3,female,0,0,S,Young Adult,Medium,1,1,U
0,2,male,1,1,C,Adult,Premium,3,0,U
0,3,male,0,0,S,Adult,Low,1,1,U
0,3,male,3,2,S,Child,High,6,0,U
1,1,female,1,1,S,Adult,Premium,3,0,B
1,3,male,0,0,S,Young Adult,Medium,1,1,U
0,1,male,0,0,S,Adult,Low,1,1,U
1,3,female,0,1,S,Young Adult,Medium,2,0,E
0,3,male,4,1,S,Child,Premium,6,0,U
0,3,male,0,0,Q,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,Premium,1,1,U
1,2,male,0,2,C,Child,Premium,3,0,U
1,3,male,0,0,Q,Young Adult,Low,1,1,U
1,1,female,0,0,S,Adult,Premium,1,1,B
1,3,female,1,0,C,Teenager,Medium,2,0,U
1,2,male,1,1,S,Child,High,3,0,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,male,0,0,S,Teenager,Medium,1,1,U
1,1,female,1,1,C,Adult,Premium,3,0,E
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
1,3,male,0,0,S,Adult,Premium,1,1,U
1,1,male,0,0,C,Young Adult,High,1,1,C
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,2,male,0,0,S,Teenager,Medium,1,1,U
1,1,female,0,0,C,Young Adult,High,1,1,U
0,3,male,0,0,C,Adult,Low,1,1,U
0,3,male,0,0,S,Teenager,Medium,1,1,U
0,3,male,0,0,S,Adult,Low,1,1,U
0,3,male,8,2,S,Young Adult,Premium,11,0,U
0,3,male,0,0,C,Adult,Low,1,1,U
0,2,male,0,1,S,Young Adult,Premium,2,0,U
1,1,female,1,0,C,Young Adult,Premium,2,0,C
0,3,male,4,2,S,Child,Premium,7,0,U
0,3,male,0,0,S,Senior,Low,1,1,U
0,3,female,1,1,C,Child,High,3,0,U
1,1,female,0,1,S,Teenager,Premium,2,0,D
0,2,female,1,0,S,Adult,High,2,0,U
1,3,female,0,1,S,Teenager,Medium,2,0,U
1,1,female,1,1,S,Adult,Premium,3,0,U
1,1,male,0,0,S,Adult,High,1,1,E
1,3,female,0,3,C,Young Adult,High,4,0,U
0,3,male,0,0,C,Young Adult,Low,1,1,U
0,3,male,2,0,S,Adult,Medium,3,0,U
0,2,male,1,0,S,Young Adult,Medium,2,0,U
1,1,female,0,0,S,Adult,High,1,1,D
0,3,female,8,2,S,Young Adult,Premium,11,0,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
1,2,female,0,0,S,Adult,Medium,1,1,U
1,2,female,1,0,C,Young Adult,Medium,2,0,U
0,1,male,0,0,S,Adult,Premium,1,1,A
0,3,male,0,0,S,Young Adult,Medium,1,1,U
1,3,male,1,1,S,Child,Medium,3,0,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,1,female,1,1,S,Adult,Premium,3,0,D
0,1,male,0,0,S,Adult,Low,1,1,B
0,3,male,0,0,S,Adult,Medium,1,1,U
1,2,female,1,0,C,Young Adult,High,2,0,U
1,3,female,0,0,C,Teenager,Low,1,1,U
0,3,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Teenager,Low,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
1,1,female,0,1,C,Adult,Premium,2,0,C
1,2,female,0,1,S,Young Adult,High,2,0,U
0,3,male,0,0,S,Adult,Low,1,1,U
0,3,female,0,0,S,Young Adult,Medium,1,1,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
0,3,male,0,0,S,Young Adult,Low,1,1,U
0,3,female,0,5,Q,Adult,High,6,0,U
0,2,male,0,0,S,Young Adult,Medium,1,1,U
1,1,female,0,0,S,Teenager,High,1,1,B
0,3,female,1,2,S,Young Adult,High,4,0,U
1,1,male,0,0,C,Young Adult,High,1,1,C
0,3,male,0,0,Q,Adult,Low,1,1,U
